Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
979.000000	1.555617	0.000000	
980.000000	1.555601	0.000000	
981.000000	1.555585	0.000000	
982.000000	1.555570	0.000000	
983.000000	1.555554	0.000000	
984.000000	1.555538	0.000000	
985.000000	1.555523	0.000000	
986.000000	1.555507	0.000000	
987.000000	1.555492	0.000000	
988.000000	1.555476	0.000000	
989.000000	1.555461	0.000000	
990.000000	1.555445	0.000000	
991.000000	1.555430	0.000000	
992.000000	1.555415	0.000000	
993.000000	1.555400	0.000000	
994.000000	1.555384	0.000000	
995.000000	1.555369	0.000000	
996.000000	1.555354	0.000000	
997.000000	1.555339	0.000000	
998.000000	1.555324	0.000000	
999.000000	1.555309	0.000000	
1000.000000	1.555294	0.000000	
1006.000000	1.555206	0.000000	
1012.000000	1.555119	0.000000	
1018.000000	1.555034	0.000000	
1024.000000	1.554950	0.000000	
1030.000000	1.554868	0.000000	
1036.000000	1.554787	0.000000	
1042.000000	1.554708	0.000000	
1048.000000	1.554629	0.000000	
1054.000000	1.554553	0.000000	
1060.000000	1.554477	0.000000	
1066.000000	1.554403	0.000000	
1072.000000	1.554331	0.000000	
1078.000000	1.554259	0.000000	
1084.000000	1.554189	0.000000	
1090.000000	1.554120	0.000000	
1096.000000	1.554052	0.000000	
1102.000000	1.553985	0.000000	
1108.000000	1.553919	0.000000	
1114.000000	1.553854	0.000000	
1120.000000	1.553790	0.000000	
1126.000000	1.553728	0.000000	
1132.000000	1.553666	0.000000	
1138.000000	1.553606	0.000000	
1144.000000	1.553546	0.000000	
1150.000000	1.553487	0.000000	
1156.000000	1.553429	0.000000	
1162.000000	1.553372	0.000000	
1168.000000	1.553316	0.000000	
1174.000000	1.553261	0.000000	
1180.000000	1.553207	0.000000	
1186.000000	1.553154	0.000000	
1192.000000	1.553101	0.000000	
1198.000000	1.553049	0.000000	
1204.000000	1.552998	0.000000	
1210.000000	1.552948	0.000000	
1216.000000	1.552898	0.000000	
1222.000000	1.552849	0.000000	
1228.000000	1.552801	0.000000	
1234.000000	1.552754	0.000000	
1240.000000	1.552707	0.000000	
1246.000000	1.552661	0.000000	
1252.000000	1.552616	0.000000	
1258.000000	1.552571	0.000000	
1264.000000	1.552527	0.000000	
1270.000000	1.552484	0.000000	
1276.000000	1.552441	0.000000	
1282.000000	1.552399	0.000000	
1288.000000	1.552357	0.000000	
1294.000000	1.552316	0.000000	
1300.000000	1.552276	0.000000	
1306.000000	1.552236	0.000000	
1312.000000	1.552197	0.000000	
1318.000000	1.552158	0.000000	
1324.000000	1.552119	0.000000	
1330.000000	1.552082	0.000000	
1336.000000	1.552045	0.000000	
1342.000000	1.552008	0.000000	
1348.000000	1.551972	0.000000	
1354.000000	1.551936	0.000000	
1360.000000	1.551901	0.000000	
1366.000000	1.551866	0.000000	
1372.000000	1.551832	0.000000	
1378.000000	1.551798	0.000000	
1384.000000	1.551764	0.000000	
